file,scenario,sentence
000123,calendar,tell me every day to take green tea at four pm
000124,calendar,remind me to send the presentation today at one pm
000125,calendar,remind me to send the presentation today at one pm
000126,calendar,remind me to send the presentation today at one pm
000127,calendar,remind me to send the presentation today at one pm
000128,calendar,olly create an event in my calendar
000129,calendar,show me future events
000130,calendar,show me future events
000131,calendar,delete my birthday reminder for next week
000132,calendar,send a calendar appointment to jan
000133,calendar,create a new event on my calendar
000134,calendar,events happening between eight am and five pm today
000135,calendar,events happening between eight am and five pm today
000136,calendar,set a reminder for wishing a friend tomorrow at ten am
000137,calendar,set a reminder for wishing a friend tomorrow at ten am
000138,calendar,give me the information of today's cricket match
000139,calendar,olly tell me what's going on tomorrow
000140,calendar,can you please disregard the party that i will be going to this weekend on my calendar
000141,calendar,can you please disregard the party that i will be going to this weekend on my calendar
000142,calendar,can you please disregard the party that i will be going to this weekend on my calendar
000143,calendar,can you please disregard the party that i will be going to this weekend on my calendar
000144,calendar,can you please disregard the party that i will be going to this weekend on my calendar
000145,calendar,set reminder for tennis game with peter on sunday at four pm
000146,calendar,set reminder for tennis game with peter on sunday at four pm
000147,calendar,set reminder for tennis game with peter on sunday at four pm
000148,calendar,set reminder for tennis game with peter on sunday at four pm
000149,calendar,set reminder for tennis game with peter on sunday at four pm
000150,calendar,add haircut to my appointments on saturday afternoon at four
000151,calendar,what are my appointments today
000152,calendar,i have a doctor's appointment at two pm today
000153,calendar,is the on the calendar for july two
000154,calendar,what's going on between three hundred and thirty and four
000155,calendar,what's going on between three hundred and thirty and four
000156,calendar,what's going on between three hundred and thirty and four
000157,calendar,is my calendar free for four pm today
000158,calendar,is my calendar free for four pm today
000159,calendar,is there a birthday party today
000160,calendar,hey turn on your reminders for tomorrow's meeting at ten am
000161,calendar,check calendar
000162,calendar,check calendar
000163,calendar,check calendar
000164,calendar,check calendar
000165,calendar,remind me about mike's birthdays
000166,calendar,clear all events in calendar for march
000167,calendar,tell more about this event
000168,calendar,tell more about this event
000169,calendar,tell me what my next events are
000170,calendar,tell me what my next events are
000171,calendar,can you confirm that my meeting for tomorrow has been cancelled
000172,calendar,do i have any appointments tomorrow
000173,calendar,do i have any appointments tomorrow
000174,calendar,do i have any appointments tomorrow
000175,calendar,please remove the appointment on april first
000176,calendar,please remove the appointment on april first
000177,calendar,tell me what's happening next thursday
000178,calendar,tell me what's happening next thursday
000179,calendar,tell me what's happening next thursday
000180,calendar,tell me what's happening next thursday
000181,calendar,delete appointment at time
000182,calendar,please set up a meeting with becky at three pm on tuesday
000183,calendar,please set up a meeting with becky at three pm on tuesday
000184,calendar,schedule a meeting with ri on april first at ten am
000185,calendar,schedule a meeting with ri on april first at ten am
000186,calendar,can you add my business meeting to the work calendar
000187,calendar,can you add my business meeting to the work calendar
000188,calendar,when is my next dentist appointment
000189,calendar,when is my next dentist appointment
000190,calendar,go to the next event in the calendar and delete it
000191,calendar,go to the next event in the calendar and delete it
000192,calendar,go to the next event in the calendar and delete it
000193,calendar,go to the next event in the calendar and delete it
000194,calendar,remind upcoming event's
000195,calendar,tell me upcoming event's
000196,calendar,tell me upcoming event's
000197,calendar,calendar erase all
000198,calendar,calendar erase all
000199,calendar,calendar erase all
000200,calendar,march fifth is john's birthday please place this on the calendar
000201,calendar,march fifth is john's birthday please place this on the calendar
000202,calendar,march fifth is john's birthday please place this on the calendar
000203,calendar,march fifth is john's birthday please place this on the calendar
000204,calendar,march fifth is john's birthday please place this on the calendar
000205,calendar,set notification before this event
000206,calendar,set notification before this event
000207,calendar,add event for date and time with these people
000208,calendar,delete trip scheduled july fourth
000209,calendar,delete trip scheduled july fourth
000210,calendar,delete trip scheduled july fourth
000211,calendar,please reschedule the meeting to six pm tomorrow and inform members
000212,calendar,please reschedule the meeting to six pm tomorrow and inform members
000213,calendar,please reschedule the meeting to six pm tomorrow and inform members
000214,calendar,please reschedule the meeting to six pm tomorrow and inform members
000215,calendar,add remember to call mom to my reminders
000216,calendar,add remember to call mom to my reminders
000217,calendar,what is the theme of the party
000218,calendar,what is the theme of the party
000219,calendar,add yoga class at noon to my schedule for the next three sundays
000220,calendar,add yoga class at noon to my schedule for the next three sundays
000221,calendar,add yoga class at noon to my schedule for the next three sundays
000222,calendar,add yoga class at noon to my schedule for the next three sundays
000223,calendar,do i have any meeting today
000224,calendar,do i have any meeting today
000225,calendar,add valia's wedding the next saturday at eight o clock
000226,calendar,add valia's wedding the next saturday at eight o clock
000227,calendar,delete all my appointments for today
000228,calendar,delete all my appointments for today
000229,calendar,delete all my appointments for today
000230,calendar,set the event to recur every week
000231,calendar,clear all events from my calendar for next week
000232,calendar,clear all events from my calendar for next week
000233,calendar,text your lost android phone to turn the ringer volume up one percent
000234,calendar,when do i need to pay the bills
000235,calendar,add to calendar a home visit everyday this week
000236,calendar,clear all data from calendar
000237,calendar,clear all data from calendar
000238,calendar,is my daughter's play friday night
000239,calendar,is my daughter's play friday night
000240,calendar,tell me the meetings i have for the week
000241,calendar,tell me the meetings i have for the week
000242,calendar,tell me the meetings i have for the week
000243,calendar,tell me the meetings i have for the week
000244,calendar,erase all content in my calendar
000245,calendar,erase all content in my calendar
000246,calendar,erase all content in my calendar
000247,calendar,erase all content in my calendar
000248,calendar,take my calendar and clear it
000249,calendar,take my calendar and clear it
000250,calendar,i want to remove the wedding function on saturday
000251,calendar,i want to remove the wedding function on saturday
000252,calendar,note down important event in this week
000253,calendar,note down important event in this week
000254,calendar,please remove all items on my calendar
000255,calendar,please remove all items on my calendar
000256,calendar,set a calendar event
000257,calendar,just set me reminders about meetings with my colleagues
000258,calendar,just set me reminders about meetings with my colleagues
000259,calendar,just set me reminders about meetings with my colleagues
000260,calendar,remove that event from calendar
000261,calendar,what have i got going on between three and four pm today
000262,calendar,what have i got going on between three and four pm today
000263,calendar,please restart and remove all the entries in the calendar
000264,calendar,hey schedule a meeting with mr ross for this friday noon
000265,calendar,where is fallout boy performing next
000266,calendar,where is fallout boy performing next
000267,calendar,remove the board meeting and reschedule for next wednesday
000268,calendar,remove the board meeting and reschedule for next wednesday
000269,calendar,set a reminder for my shopping trip tomorrow at five pm
000270,calendar,add a party tonight in my remainder
000271,calendar,there are many important event in this month note down that
000272,calendar,there are many important event in this month note down that
000273,calendar,there are many important event in this month note down that
000274,calendar,there are many important event in this month note down that
000275,calendar,there are many important event in this month note down that
000276,calendar,create meeting with paul tomorrow at six pm
000277,calendar,create meeting with paul tomorrow at six pm
000278,calendar,what is happening during eight am and five pm today
000279,calendar,what is happening during eight am and five pm today
000280,calendar,what is happening during eight am and five pm today
000281,calendar,what is happening during eight am and five pm today
000282,calendar,let me know when my phone is due
000283,calendar,let me know when my phone is due
000284,calendar,let me know when my phone is due
000285,calendar,schedule a meeting with the vp of the department on the twenty first of march two thousand and seventeen
000286,calendar,i need to arrange a meeting with jack
000287,calendar,i need to arrange a meeting with jack
000288,calendar,i need to arrange a meeting with jack
000289,calendar,countdown for time
000290,calendar,which is the next event coming up
000291,calendar,which is the next event coming up
000292,calendar,remove what i have to do on the twenty three of march
000293,calendar,who is coming to the meeting tomorrow at ten am
000294,calendar,who is coming to the meeting tomorrow at ten am
000295,calendar,who is coming to the meeting tomorrow at ten am
000296,calendar,who is coming to the meeting tomorrow at ten am
000297,calendar,who is coming to the meeting tomorrow at ten am
000298,calendar,who is coming to the meeting tomorrow at ten am
000299,calendar,mike and jack should be added to festival calendar
000300,calendar,mike and jack should be added to festival calendar
000301,calendar,remind me about my next meeting a few hours ahead of time
000302,calendar,remind me about my next meeting a few hours ahead of time
000303,calendar,clear my events search data
000304,calendar,clear my events search data
000305,calendar,clear my events search data
000306,calendar,i have to attend a baking contest on wednesday morning at seven save and set reminder
000307,calendar,i have to attend a baking contest on wednesday morning at seven save and set reminder
000308,calendar,do i have a lunch date today
000309,calendar,do i have a lunch date today
000310,calendar,olly please schedule all my doctors appointments
000311,calendar,is there anything important for today
000312,calendar,add repeating event on saturday on seven am named cinema time
000313,calendar,add repeating event on saturday on seven am named cinema time
000314,calendar,all march events in rccg is to be added to my calendar
000315,calendar,remind me about this tomorrow
000316,calendar,remind me about this tomorrow
000317,calendar,was my afternoon meeting cancelled
000318,calendar,was my afternoon meeting cancelled
000319,calendar,add all rrcg events in march to my calendar
000320,calendar,add all rrcg events in march to my calendar
000321,calendar,add all rrcg events in march to my calendar
000322,calendar,add all rrcg events in march to my calendar
000323,calendar,add all rrcg events in march to my calendar
000324,calendar,add all rrcg events in march to my calendar
000325,calendar,mark my budget meeting down for every friday at two
000326,calendar,where is the event today
000327,calendar,make an appointment for me next saturday at five at the library and set a reminder
000328,calendar,delete all meetings for tomorrow
000329,calendar,delete all meetings for tomorrow
000330,calendar,remind me to eat when i get home
000331,calendar,please find events in the month of march
000332,calendar,please find events in the month of march
000333,calendar,please find events in the month of march
000334,calendar,whats on my calendar today
000335,calendar,whats on my calendar today
000336,calendar,information
000337,calendar,can i remove a reminder
000338,calendar,can i remove a reminder
000339,calendar,do i have anything planned today
000340,calendar,do i have anything planned today
000341,calendar,do i have anything planned today
000342,calendar,remove calendar events
000343,calendar,please delete the next calendar event that i have created
000344,calendar,please delete the next calendar event that i have created
000345,calendar,clear my schedule for this date
000346,calendar,how many meetings have there been
000347,calendar,remove all scheduled events on my calendar please
000348,calendar,remove all scheduled events on my calendar please
000349,calendar,remove all scheduled events on my calendar please
000350,calendar,remove all scheduled events on my calendar please
000351,calendar,remove all scheduled events on my calendar please
000352,calendar,add this event to my calendar
000353,calendar,add this event to my calendar
000354,calendar,add this event to my calendar
000355,calendar,add this event to my calendar
000356,calendar,add this event to my calendar
000357,calendar,add this event to my calendar
000358,calendar,remind me at eight am tomorrow that i have a lunch meeting at noon in the conference room
000359,calendar,delete the richard's wedding event next year
000360,calendar,delete the richard's wedding event next year
000361,calendar,delete the richard's wedding event next year
000362,calendar,delete the richard's wedding event next year
000363,calendar,delete the richard's wedding event next year
000364,calendar,remind me at this time
000365,calendar,remind me at this time
000366,calendar,remind me at this time
000367,calendar,can you tell me the next scheduled event
000368,calendar,can you tell me the next scheduled event
000369,calendar,please show today meting with clients
000370,calendar,can you give me a ten minute timer
000371,calendar,can you give me a ten minute timer
000372,calendar,remind me of my sister's birthday party tomorrow an hour before it starts
000373,calendar,remind me of my sister's birthday party tomorrow an hour before it starts
000374,calendar,do i have a doctor's appointment this thursday
000375,calendar,do i have a doctor's appointment this thursday
000376,calendar,make a note of my doctor's appointment on wednesday next week
000377,calendar,make a note of my doctor's appointment on wednesday next week
000378,calendar,what are the reminder i had set for tomorrow
000379,calendar,what are the reminder i had set for tomorrow
000380,calendar,what are the reminder i had set for tomorrow
000381,calendar,what are the reminder i had set for tomorrow
000382,calendar,format data from calendar
000383,calendar,format data from calendar
000384,calendar,what day of the week is the youth charity event
000385,calendar,meeting with anna this friday
000386,calendar,meeting with anna this friday
000387,calendar,meeting with anna this friday
000388,calendar,meeting with anna this friday
000389,calendar,meeting with anna this friday
000390,calendar,meeting with anna this friday
000391,calendar,recollect next week gm's meeting
000392,calendar,cancel future event from place i worked
000393,calendar,cancel future event from place i worked
000394,calendar,cancel future event from place i worked
000395,calendar,remind me when it is lunchtime
000396,calendar,note down this event on my calendar
000397,calendar,note down this event on my calendar
000398,calendar,note down this event on my calendar
000399,calendar,erase calendar events
000400,calendar,was there an appointment set up for saturday
000401,calendar,may i ask you to remove next event from my calendar
000402,calendar,may i ask you to remove next event from my calendar
000403,calendar,may i ask you to remove next event from my calendar
000404,calendar,add remainder
000405,calendar,add remainder
000406,calendar,add remainder
000407,calendar,add remainder
000408,calendar,meeting this monday
000409,calendar,meeting this monday
000410,calendar,check my social notifications
000411,calendar,do i have a date for tonight
000412,calendar,give me more information about the scheduled event on the thirtieth of march alexa
000413,calendar,who is scheduled for tomorrow's meeting
000414,calendar,who is scheduled for tomorrow's meeting
000415,calendar,set reminder at three pm
000416,calendar,my upcoming events
000417,calendar,my upcoming events
000418,calendar,what is the date for the event scheduled on the twentieth of february
000419,calendar,what is the date for the event scheduled on the twentieth of february
000420,calendar,add all the event of march happening in rccg to my calendar
000421,calendar,add all the event of march happening in rccg to my calendar
000422,calendar,add all the event of march happening in rccg to my calendar
000423,calendar,add all the event of march happening in rccg to my calendar
000424,calendar,add all the event of march happening in rccg to my calendar
000425,calendar,when the meeting start
000426,calendar,delete my calendar
000427,calendar,meeting next week monday
000428,calendar,reschedule the party to thursday
000429,calendar,set rotating event
000430,calendar,set rotating event
000431,calendar,set rotating event
000432,calendar,please set a reminder for my five pm meeting today
000433,calendar,please set a reminder for my five pm meeting today
000434,calendar,let me know about my meetings after some days
000435,calendar,let me know about my meetings after some days
000436,calendar,add an event labeled dan's graduation party may fifth in goshen
000437,calendar,add an event to my calendar
000438,calendar,add an event to my calendar
000439,calendar,add an event to my calendar
000440,calendar,add an event to my calendar
000441,calendar,add an event to my calendar
000442,calendar,add an event to my calendar
000443,calendar,check the events on calendar and delete the next event
000444,calendar,set a reminder alert for saturday nine am towards payment of electricity bill
000445,calendar,set a reminder alert for saturday nine am towards payment of electricity bill
000446,calendar,tell me all the pending reminders
000447,calendar,set a reminder for five pm tomorrow
000448,calendar,set a reminder for five pm tomorrow
000449,calendar,set a reminder for five pm tomorrow
000450,calendar,set a reminder for five pm tomorrow
000451,calendar,alert me about birthday of wife in advance
000452,calendar,remind me of dinner with mom tonight on my calendar
000453,calendar,remind me of dinner with mom tonight on my calendar
000454,calendar,remind me of dinner with mom tonight on my calendar
000455,calendar,remind me of dinner with mom tonight on my calendar
000456,calendar,clear my next event
000457,calendar,clear my next event
000458,calendar,set a two day notification before maria's birthday please
000459,calendar,set up the meeting with justin and katrina
000460,calendar,set up the meeting with justin and katrina
000461,calendar,set up the meeting with justin and katrina
000462,calendar,set up the meeting with justin and katrina
000463,calendar,ten am
000464,calendar,what do i have to do today
000465,calendar,what do i have to do today
000466,calendar,what do i have to do today
000467,calendar,what do i have to do today
000468,calendar,please organize a meeting with my co workers
000469,calendar,please organize a meeting with my co workers
000470,calendar,please add brunch with erin to my calendar at the diner
000471,calendar,please add brunch with erin to my calendar at the diner
000472,calendar,set a notification about my meeting next tuesday
000473,calendar,set a notification about my meeting next tuesday
000474,calendar,set a notification about my meeting next tuesday
000475,calendar,what is the meeting schedule
000476,calendar,at what time does the next redso game start
000477,calendar,at what time does the next redso game start
000478,calendar,set a meeting on the twentieth october ten thirty am
000479,calendar,set a meeting on the twentieth october ten thirty am
000480,calendar,set a meeting on the twentieth october ten thirty am
000481,calendar,set a meeting on the twentieth october ten thirty am
000482,calendar,delete birthday party
000483,calendar,delete birthday party
000484,calendar,delete birthday party
000485,calendar,i need next weeks lunch put on the calendar
000486,calendar,i need next weeks lunch put on the calendar
000487,calendar,set the event to recur on the first monday of the month
000488,calendar,set the event to recur on the first monday of the month
000489,calendar,delete all events from calendar
000490,calendar,new calendar event for albert's marriage
000491,calendar,please add haircut to march twenty seventh at three pm
000492,calendar,please add haircut to march twenty seventh at three pm
000493,calendar,notify me in fifteen before meeting starts
000494,calendar,tell me later to file the invoice
000495,calendar,tell me later to file the invoice
000496,calendar,tell me later to file the invoice
000497,calendar,repeat birthday
000498,calendar,repeat birthday
000499,calendar,repeat birthday
000500,calendar,repeat birthday
000501,calendar,what events do i have scheduled today
000502,calendar,what events do i have scheduled today
000503,calendar,remind me about thing at time
000504,calendar,remind me about thing at time
000505,calendar,remember to remind me about client meet at four pm
000506,calendar,set a reminder for my meeting today
000507,calendar,please remind me
000508,calendar,please remind me
000509,calendar,how long it's take
000510,calendar,how long it's take
000511,calendar,how long it's take
000512,calendar,when is my dental appointment on the calendar
000513,calendar,when is my dental appointment on the calendar
000514,calendar,tell me about the latest events going around my city
000515,calendar,remind me of mondays meeting
000516,calendar,how many other bands will be performing at the zach brown concert on june third
000517,calendar,please cancel all my events for today
000518,calendar,please cancel all my events for today
000519,calendar,am i on vacation this week
000520,calendar,am i on vacation this week
000521,calendar,set up a daily reminder for me
000522,calendar,can you tell me my appointments for this week
000523,calendar,can you tell me my appointments for this week
000524,calendar,can you tell me my appointments for this week
000525,calendar,schedule and appointment with mike for next thursday morning
000526,calendar,schedule and appointment with mike for next thursday morning
000527,calendar,alexa make an event reminder for a meeting with mona on tuesday
000528,calendar,how many reminders do i have made
000529,calendar,delete my whole calendar for today
000530,calendar,check calendar for events
000531,calendar,olly remind me my mom's birthday a week before
000532,calendar,is today when my paper is due
000533,calendar,mark the event monthly
000534,calendar,set a reminder for a meeting at two pm tomorrow between myself and john
000535,calendar,is the birthday event on fifteenth of this month true
000536,calendar,remind me about my meeting
000537,calendar,when monet's exhibition takes place
000538,calendar,when monet's exhibition takes place
000539,calendar,when monet's exhibition takes place
000540,calendar,when monet's exhibition takes place
000541,calendar,when monet's exhibition takes place
000542,calendar,put on my calendar meeting with ms boland on wednesday eight hundred am
000543,calendar,put on my calendar meeting with ms boland on wednesday eight hundred am
000544,calendar,make a list of all the halloween events going around in new york
000545,calendar,who was the chief guest of the event
000546,calendar,please remove all the entries marked in the calendar
000547,calendar,please remove all the entries marked in the calendar
000548,calendar,remind me at the fifteenth of every month
000549,calendar,remind me at the fifteenth of every month
000550,calendar,add event to calendar
000551,calendar,add event to calendar
000552,calendar,add event to calendar
000553,calendar,add event to calendar
000554,calendar,what's the name of the event
000555,calendar,what's the name of the event
000556,calendar,what's the name of the event
000557,calendar,what's the name of the event
000558,calendar,what's the name of the event
000559,calendar,what's the name of the event
000560,calendar,what's the name of the event
000561,calendar,what's the name of the event
000562,calendar,what's the name of the event
000563,calendar,what's the name of the event
000564,calendar,what's the name of the event
000565,calendar,what's the name of the event
000566,calendar,what's the name of the event
000567,calendar,olly is there anything i should be reminded about
000568,calendar,olly is there anything i should be reminded about
000569,calendar,olly is there anything i should be reminded about
000570,calendar,olly is there anything i should be reminded about
000571,calendar,hey olly clear all my calendar appoints for today
000572,calendar,hey olly clear all my calendar appoints for today
000573,calendar,notify me when this meeting is close
000574,calendar,can you remind me about the gym class in two hours
000575,calendar,delete this event on march three
000576,calendar,delete this event on march three
000577,calendar,what's on my agenda
000578,calendar,what's on my agenda
000579,calendar,what's on my agenda
000580,calendar,what's on my agenda
000581,calendar,remove event from calendar
000582,calendar,remove event from calendar
000583,calendar,remove event from calendar
000584,calendar,remove event from calendar
000585,calendar,add girls night out to my calendar
000586,calendar,add girls night out to my calendar
000587,calendar,add girls night out to my calendar
000588,calendar,change my plan erase my next event
000589,calendar,what is my schedule for twelve pm to four pm
000590,calendar,erase all events on the calendar
000591,calendar,erase all events on the calendar
000592,calendar,what next
000593,calendar,what next
000594,calendar,what time is the function of the play joy in broadway theater today
000595,calendar,what time is the function of the play joy in broadway theater today
000596,calendar,what time is the function of the play joy in broadway theater today
000597,calendar,when is the party this weekend
000598,calendar,when is the party this weekend
000599,calendar,when is the party this weekend
000600,calendar,can you add name location to calendar
000601,calendar,can you add name location to calendar
000602,calendar,mark on my calendar
000603,calendar,what appointments do i have between one pm till three pm
000604,calendar,what appointments do i have between one pm till three pm
000605,calendar,what appointments do i have between one pm till three pm
000606,calendar,schedule doctors appointment for this friday at
000607,calendar,remove dinner with mike from my calendar
000608,calendar,mark sarah's birthday party on the twelveth
000609,calendar,remind me at two pm tuesday for the three pm meeting with the boss
000610,calendar,remind me at two pm tuesday for the three pm meeting with the boss
000611,calendar,remind me at two pm tuesday for the three pm meeting with the boss
000612,calendar,please clear jeff's birthday from the calendar
000613,calendar,please clear jeff's birthday from the calendar
000614,calendar,please clear jeff's birthday from the calendar
000615,calendar,is it someones birthday or anniversary today
000616,calendar,is it someones birthday or anniversary today
000617,calendar,remove the event off the calendar
000618,calendar,create an event in my calendar
000619,calendar,create an event in my calendar
000620,calendar,add on my calendar for today joe smith at one pm
000621,calendar,add on my calendar for today joe smith at one pm
000622,calendar,for the next month how many meeting days available do i have that are convenient for me
000623,calendar,what is my meeting at nine am
000624,calendar,alexa give me my to do list for today
000625,calendar,alexa give me my to do list for today
000626,calendar,calendar invite for breakfast with sarah at eight am
000627,calendar,would you please notify me about the event in my calendar
000628,calendar,would you please notify me about the event in my calendar
000629,calendar,give me the details of next reminder
000630,calendar,give me the details of next reminder
000631,calendar,give me the details of next reminder
000632,calendar,give me the details of next reminder
000633,calendar,remind me of my meeting at five pm
000634,calendar,drop my june holiday from calendar
000635,calendar,what time is my eye doctor appointment on the twenty third
000636,calendar,what time is my eye doctor appointment on the twenty third
000637,calendar,delete next calendar event
000638,calendar,do i have any events happening next week
000639,calendar,do i have any events happening next week
000640,calendar,do i have any events happening next week
000641,calendar,do i have any events happening next week
000642,calendar,do i have any events happening next week
000643,calendar,do i have any events happening next week
000644,calendar,do i have any events happening next week
000645,calendar,customize the tab to display your preferred time period
000646,calendar,remind me about my anniversary in advance
000647,calendar,remind me about my anniversary in advance
000648,calendar,is jimmie's party on friday cancelled
000649,calendar,is jimmie's party on friday cancelled
000650,calendar,hey olly on the twentieth clear my calendar
000651,calendar,was my meeting today rescheduled
000652,calendar,was my meeting today rescheduled
000653,calendar,remind me in fifty minutes
000654,calendar,remind me in fifty minutes
000655,calendar,fill my calendar with a meeting with garvin and trilly for december fifth at five hundred and thirty pm
000656,calendar,find dinner with mom on my calendar and delete it
000657,calendar,find dinner with mom on my calendar and delete it
000658,calendar,please delete the next event on my calendar
000659,calendar,wish birthday
000660,calendar,wish birthday
000661,calendar,wish birthday
000662,calendar,wish birthday
000663,calendar,wish birthday
000664,calendar,delete that
000665,calendar,delete that
000666,calendar,please tell me current events for the day
000667,calendar,please tell me current events for the day
000668,calendar,please tell me current events for the day
000669,calendar,please tell me current events for the day
000670,calendar,please tell me current events for the day
000671,calendar,add new year with family next week
000672,calendar,add new year with family next week
000673,calendar,do i have a game on april seven
000674,calendar,clear future event
000675,calendar,clear future event
000676,calendar,clear future event
000677,calendar,can you schedule a meeting with mr chen on next monday six hundred pm
000678,calendar,what's on the calendar today
000679,calendar,check when the show starts
000680,calendar,check when the show starts
000681,calendar,check when the show starts
000682,calendar,what schedule event do i have for this month
000683,calendar,remind me to meet sarah at safeway in mckinleyville california at noon
000684,calendar,remind me to meet sarah at safeway in mckinleyville california at noon
000685,calendar,do i have any reminders for today
000686,calendar,how many meetings are on my calendar today
000687,calendar,can you brief about the next scheduled events
000688,calendar,schedule my meeting with tom cruise today evening at six pm
000689,calendar,schedule my meeting with tom cruise today evening at six pm
000690,calendar,schedule my meeting with tom cruise today evening at six pm
000691,calendar,schedule my meeting with tom cruise today evening at six pm
000692,calendar,anything happening today
000693,calendar,remind me to send that email later
000694,calendar,remind me to send that email later
000695,calendar,where am i supposed to be wednesday from two to eleven
